title,url,s,sp,date,timestamp
Apple TV vs. Roku vs. Nexus Q: Media streamers compared,https://www.cnet.com/news/apple-tv-vs-roku-vs-nexus-q-media-streamers-compared/,CNET,"It&#39;s a pure streaming box that offers hundreds of online channels, aka providers, including Netflix, Hulu Plus, Pandora, and Amazon Instant Video. Those with treasure troves of ... AirPlay means most iOS media apps support TV playback. Downside: Closed&nbsp;...","Jun 29, 2012",1341011351
Does Google Have Any Social Skills at All?,http://gizmodo.com/5921823/does-google-have-any-social-skills-at-all,Gizmodo,"The keynote sounded one futuristic clarion call after another: Glass, the wearable computer; Google Now, a smartphone system that provides intricately tailored life information; the Nexus Q, a social media streamer; and a fancy new way to throw parties ...","Jun 28, 2012",1340913989
"[Editorial] Google TV Is Bad, And Google Should Feel Bad",http://www.androidpolice.com/2012/06/30/editorial-google-tv-is-bad-and-google-should-feel-bad/,Android Police,"Rather than commissioning Google TV as its chief commander in the invasion of our living rooms, Mountain View&#39;s I/O keynotes indicated the company seems to have changed up its strategy so that it&#39;s now focusing on the $300 &quot;social streaming media ...","Jun 30, 2012",1341072263
Internet radio rankings show Pandora&#39;s #1 but broadcast is #2,http://www.radiosurvivor.com/2012/07/17/internet-radio-rankings-show-pandoras-1-but-broadcast-is-2/,Radio Survivor,I&#39;ve been enjoying Jennifer Lane&#39;s Audio4cast blog because she cuts through the growing avalanche of stories and fluffed up press releases to highlight just a handful of important news items in the internet radio world each week.,"Jul 17, 2012",1342530435
Pandora creator: Kickstarter sensation Ouya could be dead on arrival,http://www.pocketgamer.co.uk/r/Android/Ouya/feature.asp?c=43030,Pocket Gamer,"The newly crowd-funded Ouya console may be breaking records and attracting thousands of generous backers, but it could end up being a commercial disaster which will cost its founders dearly, according to a man who knows a thing or two about launching&nbsp;...","Jul 12, 2012",1342106535
Onkyo TX-NR616 review:,https://www.cnet.com/products/onkyo-tx-nr616/review/,CNET,"Built-in networking: The TX-NR616&#39;s Ethernet port allows for all kinds of networking functionality, including firmware updates, smartphone control, and media streaming via DLNA, Spotify, Pandora, Rhapsody, Slacker, Last.fm, and Internet radio. I still ...","Jul 17, 2012",1342563582
Central Ohio musicians featured on new app,http://www.dispatch.com/content/stories/life_and_entertainment/2012/06/22/central-ohio-musicians-featured-on-new-app.html,Columbus Dispatch,"A social-media component is built in, allowing a listener to share the song via Facebook or Twitter (and, unlike Pandora, it allows a click-back to repeat a song upon completion). Delaware resident Adam Bergman, who helped craft cannon.fm with a focus ...","Jun 22, 2012",1340358747
Finding Exercise That&#39;s in Tune with Work,http://www.wsj.com/articles/SB10001424052702303754904577532961400986848,Wall Street Journal,"The executive team at Pandora Media Inc., the automated music recommendation service, is used to seeing Chief Marketing Officer Simon Fleming-Wood break a sweat at Monday staff meetings.","Jul 23, 2012",1343082662
Forget CDs. Teens Are Tuning Into YouTube,http://www.wsj.com/articles/SB10000872396390444042704577587570410556212,Wall Street Journal,"Neither age group reported making much use of Spotify AB, Rhapsody International Inc. or other on-demand streaming music services, though Pandora Media Inc.&#39;s custom online radio service was among the five most-popular methods for both groups. In fact&nbsp;...","Aug 13, 2012",1344896183
Teens&#39; first choice for music listening? YouTube,http://www.cnn.com/2012/08/15/tech/web/teens-music-youtube/,CNN International,"That&#39;s the finding of a new study by media research firm Nielsen. Its Music 360 report set out to ... Strangely, the report doesn&#39;t address teens&#39; listening habits on music-streaming sites such as Pandora, Spotify or Grooveshark. &quot;The accessibility of ...","Aug 15, 2012",1345050915
YouTube is teens&#39; No. 1 pick for music listening,https://www.cnet.com/news/youtube-is-teens-no-1-pick-for-music-listening/,CNET,"Gone are the days of teenagers buying albums and listening to them all the way through, as are the days of following beloved radio DJs and tuning in at the appropriate times.","Aug 15, 2012",1344990562
NYSE Trading In Technical Crash; Volume Explodes,http://www.ibtimes.com/nyse-trading-technical-crash-volume-explodes-734727,International Business Times,"... motorcycle manufacturer Harley-Davidson Inc. (NYSE:HOG), electronics retailer RadioShack Corporation (NYSE:RSH), online broadcaster Pandora Media Inc. (NYSE: P) and healthcare products provider Allergan Inc. (NYSE:AGN), all of which saw massive&nbsp;...","Aug 1, 2012",1343842162
"Knight Capital Group, Jersey City firm, confirms trading problems that may ...",http://www.nj.com/business/index.ssf/2012/08/knight_capital_group_jersey_ci.html,The Star-Ledger - NJ.com,Knight Capital Group told some clients of its market-making unit that a “technical issue” was affecting its systems and advised them to route orders elsewhere as dozens of U.S.,"Aug 1, 2012",1343844675
The Ramifications Of Knight Capital Group&#39;s Trading Technology Glitch,http://seekingalpha.com/article/770631-the-ramifications-of-knight-capital-groups-trading-technology-glitch,Seeking Alpha,"Knight Capital Group (NYSE:KCG) had a trading malfunction today that caused huge, unnatural stock moves in 148 stocks on the NYSE.","Aug 1, 2012",1343847801
Taylor Swift new single on track for record downloads,http://www.reuters.com/article/net-us-taylorswift-idUSBRE87E1AY20120815,Reuters,"Pandora looking at bidders beyond Sirius XM: CNBC. Internet radio provider Pandora Media Inc is looking at potential acquirers beyond satellite radio company Sirius XM Holdings Inc, CNBC reported, citing sources.","Aug 15, 2012",1345072500
Pandora and Spotify replace CD&#39;s as the music industry&#39;s chief money-maker,http://www.nj.com/business/index.ssf/2012/08/pandora_and_spotify_replace_cd.html,The Star-Ledger - NJ.com,"The CD&#39;s reign as the music industry&#39;s biggest U.S. revenue source will end this year, eclipsed by downloads and newer streaming services such as Spotify and Pandora Media, according to a researcher. U.S. digital music sales will rise to $3.4 billion ...","Aug 16, 2012",1345138650
Is Romney on your Pandora playlist?,http://www.salon.com/2012/08/08/is_romney_on_your_pandora_playlist/,Salon,"“To help Mitt Romney become the next president, Romney for President, Inc would like to use your email address - tap OK to let Pandora share this info,” the message read. Harris took a screenshot of the request and tweeted it with a one-word comment:&nbsp;...","Aug 8, 2012",1344432600
Pandora Asks Listeners to Share Their Emails With Romney,https://www.propublica.org/article/pandora-asks-listeners-to-share-their-emails-with-romney,ProPublica,"... Old)&quot; when an ad appeared on her iPhone screen, followed by a pop-up message. &quot;To help Mitt Romney become the next president, Romney for President, Inc would like to use your email address - tap OK to let Pandora share this info,&quot; the message read.","Aug 8, 2012",1344431886
ANZ may sell Asia bank stakes due to stringent capital rules,http://www.reuters.com/article/us-anz-asia-idUSBRE87E04L20120815,Reuters,"MELBOURNE Australia and New Zealand Banking Group (ANZ.AX) would consider selling some of its stakes in Asian banks if Australia does not ease stringent capital requirements, chief executive Mike Smith said on Wednesday.","Aug 15, 2012",1345004516
Turn your old smartphone into a great media player,https://www.cnet.com/how-to/turn-your-old-smartphone-into-a-great-media-player/,CNET (blog),"Turn your old smartphone into a great media player. There are plenty of options for recycling your ... Most can be easily turned into dedicated media players that can make great additions to your home, workplace, or car. Here are some tips to make the ...","Jul 27, 2012",1343433231
"TuneIn Creeps Up on Pandora, With 40M Active Listeners",http://allthingsd.com/20120806/tunein-creeps-up-on-pandora-with-40m-active-listeners/,All Things Digital,"The TuneIn app keeps a low profile, despite being a much-depended-on utility for people who want to listen to audio streams and podcasts on their phones, in their cars, on their TVs and other devices.","Aug 6, 2012",1344247233
Apple must run &#39;Samsung did not copy iPad&#39; ads - report,http://in.reuters.com/article/samsung-apple-patents-ipad-idINDEE86I06M20120719,Reuters India,"Satellite radio company Sirius XM Holdings Inc&#39;s Chairman Greg Maffei recently made a fresh approach to internet radio provider Pandora Media Inc and expressed interest about a potential takeover, according to a source familiar with the matter.","Jul 19, 2012",1342688400
The Spotify Effect Shows Up: Streaming Music Boosts Warner&#39;s Bottom Line,http://allthingsd.com/20120809/the-spotify-effect-shows-up-streaming-music-boosts-warners-bottom-line/,All Things Digital,"Streaming services like Spotify and Pandora have made a lot of noise. Now they&#39;re actually generating money for the music labels, too.","Aug 9, 2012",1344520810
HTC Media Link HD review,http://www.theverge.com/hd/2012/8/16/3132802/htc-media-link-hd-review,The Verge,"HTC thinks it has the answer with the Media Link HD, a minuscule streamer that connects to your TV over HDMI and lets you wirelessly push whatever is on your smartphone&#39;s display to that big screen in your living room.","Aug 16, 2012",1345139303
"Despite new competition, Pandora grows its users",https://gigaom.com/2012/08/06/despite-new-competition-pandora-grows-its-users/,GigaOM,"To paraphrase Mark Twain, the rumors of Pandora&#39;s (s P) death have been greatly exaggerated. The Oakland-based music discovery service might have lost its mojo on the stock market, but it is still managing to grow and win on one (and probably the most&nbsp;...","Aug 6, 2012",1344287733
Pandora Jewelry names Scott Burger president of North America operations,http://www.bizjournals.com/baltimore/news/2012/08/08/pandora-jewelry-names-scott-burger.html,Baltimore Business Journal,"Pandora Jewelry, known for its charm bracelets, has promoted Scott Burger to president of its North American operations. Burger, 38, is currently vice president of operations at the company.","Aug 8, 2012",1344452479
"Report: Child, 4, Dead After Left In Sweltering Child Care Van",http://miami.cbslocal.com/2012/08/02/report-child-4-dead-after-left-in-sweltering-child-care-van/,CBS Local,"Agnew&#39;s daughter, Pandora, told CBS 4 News that she helped care for the other 7 children while paramedics worked on Coleman.","Aug 3, 2012",1343964013
Spotify: Disrupting the Disruptions,http://www.jacksonfreepress.com/news/2012/jul/25/spotify-disrupting-disruptions/,Jackson Free Press,"#It&#39;s amazing how quickly the technology &quot;disruptions&quot; come these days. The iPod and iTunes store disrupted the CD and the music industry, iPhones and Androids disrupted the iPod hardware business, XM radio disrupted FM radio, Pandora disrupted XM&nbsp;...","Jul 25, 2012",1343252566
Facebook stock plunges to all-time low,http://money.cnn.com/2012/07/27/investing/facebook-stock/,CNN,"Shares of Pandora (P) and Groupon (GRPN) have also taken a big hit, falling roughly 40% and 70% since their IPOs. The social media ETF Global X Social Media (SOCL), which owns Facebook, Pandora, Groupon and many other recent IPOs, was down&nbsp;...","Jul 27, 2012",1343397555
"Facebook earnings: Good, but not good enough",http://money.cnn.com/2012/07/26/technology/facebook-earnings/,CNNMoney,"Tough times for social media: Investors had become more nervous about Facebook&#39;s results Wednesday night, after social gaming company Zynga (ZNGA), a source of 15% of Facebook&#39;s first quarter revenues, reported earnings that missed forecasts and ...","Jul 26, 2012",1343334294
"Starting From $0, Facebook Has Created The World&#39;s Second Largest Mobile Ad ...",http://www.businessinsider.com/facebook-has-created-an-incredible-mobile-advertising-business-out-of-thin-air-2012-7,Business Insider,"But there is one silver lining: an incredible mobile advertising business that has, in a matter of weeks, been created out of thin air.","Jul 27, 2012",1343388413
Here&#39;s What Social Networks Know About You,http://mashable.com/2012/07/19/social-network-data/,Mashable,A read through most online privacy policies is enough to make your stomach acid curdle. And social media companies have more access to personal data than most.,"Jul 20, 2012",1342769400
Here&#39;s The Four Hottest Upcoming Streaming Devices You Should Know About,http://blog.streamingmedia.com/2012/08/heres-the-hottest-upcoming-streaming-devices-im-excited-about.html,StreamingMedia.com (blog),There are a lot of streaming media devices out in the market right now from tablets and game consoles to stand-alone streaming boxes and connected TVs.,"Aug 16, 2012",1345128165
TunnelBear VPN Circumvents Geoblocking,http://www.pcworld.com/article/260236/tunnelbear_vpn_circumvents_geoblocking.html,PCWorld,"One of the great ironies of the Internet is that it is meant to connect everyone together and break down barriers, but at the same time media companies erect location-based barriers around their properties. This practice is known as geo-blocking. For ...","Aug 8, 2012",1344463292
FCC green lights protested Texas transaction,http://rbr.com/fcc-green-lights-protested-texas-transaction/,Radio & Television Business Report,"Fuss said Russell was principle owner of Community Broadcast Group, licensee of an AM in Tyler TX, and sole owner of M.R.S. Ventures Inc., holder of 12 licenses in various locations. They also claimed that the he had a long list of unpaid fines for ...","Jul 27, 2012",1343425793
Out There: Inside Pandora&#39;s Shoebox,http://running.competitor.com/2012/08/out-there/out-there-inside-pandoras-shoebox_56978,velonews.competitor.com,"And with one purchase of New Balance 769&#39;s, Pandora&#39;s shoebox was opened. Today, you can enter house and a pair is just inside the front door, greeting you alongside my three dogs.","Aug 16, 2012",1345130770
Internet radio rankings show Pandora&#39;s #1 but broadcast is #2,http://www.radiosurvivor.com/2012/07/17/internet-radio-rankings-show-pandoras-1-but-broadcast-is-2/,Radio Survivor,I&#39;ve been enjoying Jennifer Lane&#39;s Audio4cast blog because she cuts through the growing avalanche of stories and fluffed up press releases to highlight just a handful of important news items in the internet radio world each week.,"Jul 17, 2012",1342530435
"Here Is The Evidence That Mobile Advertising Is In A Bubble (MM, P, GRPN, VELT)",http://www.businessinsider.com/here-is-the-evidence-that-mobile-advertising-is-in-a-bubble-2012-8,Business Insider,"There are a lot of companies whose business models are unproven (Pandora, Millennial, Velti). The mantra in the &#39;90s ... Look at those insane Lumascape charts of the social media marketing landscape and the mobile advertising landscape. They can&#39;t all&nbsp;...","Aug 10, 2012",1344603949
Onkyo TX-NR616 review:,https://www.cnet.com/products/onkyo-tx-nr616/review/,CNET,"Built-in networking: The TX-NR616&#39;s Ethernet port allows for all kinds of networking functionality, including firmware updates, smartphone control, and media streaming via DLNA, Spotify, Pandora, Rhapsody, Slacker, Last.fm, and Internet radio. I still ...","Jul 17, 2012",1342563582
Slacker Adds Public Radio to Already Robust Content Line-up,http://siriusbuzz.com/slacker-adds-public-radio-to-already-robust-content-line-up.php,SiriusBuzz.com,"Slacker has been quietly doing what Pandora and Sirius XM have yet to accomplish, and the company has been doing it for quite some time now.","Jul 30, 2012",1343651083
Pandora Surges After Q2 Earnings Release Surprises the Street,http://www.benzinga.com/news/earnings/12/08/2870027/pandora-surges-after-q2-earnings-release-surprises-the-street,Benzinga,Pandora Media (NYSE: P) shares rallied in Wednesday&#39;s after hours trading session after the company delivered better than expected second-quarter results.,"Aug 29, 2012",1346274984
Pandora expands Oakland office space in CIM Group tower,http://www.bizjournals.com/sanfrancisco/blog/real-estate/2012/08/pandora-expands-oakland-office-space.html,San Francisco Business Times (blog),Pandora Media Inc. continues expanding in Oakland and has increased its office space there fivefold in the last three years.,"Aug 30, 2012",1346286620
"Pandora&#39;s Q2 2013: $101.3M In Revenue, 54.9M Active Users, And A Net Loss Of $5.4M",https://techcrunch.com/2012/08/29/pandoras-q2-2013-101-3m-in-revenue-54-9m-active-users-and-a-net-loss-of-5-4m/,TechCrunch,"Internet music service Pandora just announced its financial results for the second quarter of its fiscal 2013. The company posted total revenue of $101.3 million, which was up 51 percent year-over-year.","Aug 29, 2012",1346272650
Pandora and Spotify Rake In the Money and Then Send It Off in Royalties,http://mediadecoder.blogs.nytimes.com/2012/08/24/pandora-and-spotify-rake-in-the-money-and-then-send-it-off-in-royalties/,New York Times (blog),"If you have read anything about digital music recently, you have probably encountered two names over and over: Spotify and Pandora. Both offer an abundance of free listening on easy-to-use interfaces, and music fans have embraced them. At least 33&nbsp;...","Aug 24, 2012",1345846071
Pandora Investors Over-React over Apple News,http://www.valuewalk.com/2012/09/pandora-investors-over-react-over-apple-inc-aapl-news/,ValueWalk,"Today, the WSJ reports that Apple Inc. (NASDAQ:AAPL) is currently negotiating license deals with record labels so it can create a competing online radio service vs.","Sep 7, 2012",1347023935
Apple: Pandora&#39;s Achilles&#39; Heel?,http://seekingalpha.com/article/852891-apple-pandoras-achilles-heel,Seeking Alpha,"It seems like Apple Inc. (NASDAQ:AAPL) can enter any market it pleases nowadays. First it was computers, then phones, MP3 players and TVs; what else is left, radio?","Sep 7, 2012",1347022165
"Apple Entering Online Radio Space, Sources Say",http://news.softpedia.com/news/Apple-Entering-Online-Radio-Space-Sources-Say-290605.shtml,Softpedia,"Apple is pursuing licensing deals to offer iOS customers a custom radio service much in the way of Pandora Media, the operator of Pandora Radio, an automated music recommendation service. People familiar with Apple&#39;s plans reportedly told the Wall ...","Sep 7, 2012",1347001315
Pandora CFO to Step Down at Year End,http://blogs.wsj.com/cfo/2012/08/30/pandora-cfo-to-step-down-at-year-end/,Wall Street Journal (blog),Pandora Media CFO Steven Cakebread used an upbeat quarterly results conference call late Wednesday to announce that he will leave the Internet-radio company by the end of the year in order to consider “industry-changing opportunities.,"Aug 30, 2012",1346355348
Pandora and Spotify replace CD&#39;s as the music industry&#39;s chief money-maker,http://www.nj.com/business/index.ssf/2012/08/pandora_and_spotify_replace_cd.html,The Star-Ledger - NJ.com,"The CD&#39;s reign as the music industry&#39;s biggest U.S. revenue source will end this year, eclipsed by downloads and newer streaming services such as Spotify and Pandora Media, according to a researcher. U.S. digital music sales will rise to $3.4 billion ...","Aug 16, 2012",1345138650
CDs go way of vinyl,http://nypost.com/2012/08/19/cds-go-way-of-vinyl/,New York Post,"“Streaming-music services such as Spotify and Pandora will be the key growth drivers over the next five years as usage and spending grow rapidly,” Ed Barton, director of digital media at Strategy Analytics, said. “The industry will be hoping that ...","Aug 19, 2012",1345343850
APM Terminals buys into Global Ports for Russian growth,http://www.reuters.com/article/us-globalports-investments-idUSBRE8890HI20120910,Reuters,"MOSCOW/COPENHAGEN APM Terminals, the ports arm of Danish shipping group A.P. Moller-Maersk (MAERSKb.CO), is to buy a 37.5 percent stake in Russia&#39;s Global Ports (GLPRq.","Sep 10, 2012",1347276375
"Exclusive: Boston Scientific prepares job cuts, split of heart units",http://www.reuters.com/article/us-bostonscientific-layoffs-idUSBRE87S0Z120120829,Reuters,"The source, who was not authorized to discuss the matter with media, asked to remain anonymous. In the meantime, Boston Scientific will separate its cardiac rhythm management unit, which makes heart pacemakers and implantable defibrillators, from its&nbsp;...","Aug 29, 2012",1346262936
India cracks down on Internet after communal violence,http://in.reuters.com/article/india-violence-internet-twitter-assam-fa-idINDEE87K09Z20120821,Reuters India,"A woman from India&#39;s northeast waits with her child for the train to start as they make their way back home at a railway station in Bangalore August 17, 2012.","Aug 21, 2012",1345561410
Film offers rare glimpse into Orthodox Jewish life,http://www.reuters.com/article/entertainment-us-venice-israel-idUSBRE88105G20120902,Reuters,"Pandora looking at bidders beyond Sirius XM: CNBC. Internet radio provider Pandora Media Inc is looking at potential acquirers beyond satellite radio company Sirius XM Holdings Inc, CNBC reported, citing sources.","Sep 2, 2012",1346597325
"2014 Honda Accord Plug-in Hybrid sedan offers 10-15 miles of EV range, 100 MPGe*",http://www.autoblog.com/2012/09/05/2014-honda-accord-plug-in-hybrid-sedan-offers-10-15-miles-of-ev/,Autoblog (blog),"The most interesting numbers for the 2014 Honda Accord Plug-In Hybrid - official EPA fuel economy numbers and miles per gallon equivalent - are not yet available, but we did get a few more details on the corded version of Honda&#39;s mass-market sedan that&nbsp;...","Sep 5, 2012",1346866046
YouTube and Pandora Will Live Stream Budweiser&#39;s Made in America Festival ...,http://mashable.com/2012/08/29/made-in-america-live-stream/,Mashable,Budweiser is teaming up with YouTube and Pandora to live stream its inaugural &quot;Made in America&quot; music festival. The festival is taking place this weekend - Sept.,"Aug 29, 2012",1346247444
Survey: Ten Percent Would Pay At Least $10 Per Year To Remove Ads From Facebook,http://marketingland.com/survey-ten-percent-would-pay-at-least-10-per-year-to-remove-ads-from-facebook-19885,Marketing Land,facebook-logo Internet radio app Pandora allows users to pay $36 per year to remove all ads from the service. About 14 percent of Pandora&#39;s revenue comes from this subscription service. I&#39;m a subscriber and I happily pay the annual fee. That got me ...,"Aug 26, 2012",1346024550
"Pokki Surpasses 1 Million Monthly Active Users, Releases Angry Birds, Pandora ...",https://techcrunch.com/2012/08/30/pokki-surpasses-1-million-monthly-active-users-releases-angry-birds-pandora-and-pinterest-pc-desktop-apps/,TechCrunch,"Pokki announced today that it is coming out of beta and adding a notification center and new apps for Angry Birds, Pandora and Pinterest.","Aug 30, 2012",1346342637
"Plan in place for struggling Infosys, but no fast returns",http://www.tribuneindia.com/2012/20120909/biz.htm,Chandigarh Tribune,"Previous luminaries who have been in charge of this wing have included such literary and media stars as Khushwant Singh, but in more recent years the job has been allocated to those suffering from serious medical problems (good quality private health ...","Sep 8, 2012",1347138014
"Pitchfork, Pandora Execs Among Virgin America&#39;s New Ad Stars",http://www.adweek.com/adfreak/pitchfork-pandora-execs-among-virgin-americas-new-ad-stars-143438,Adweek,Now boarding at Gate 11: geeks and nerds! Adland&#39;s recent trend of using Silicon Valley stars instead of Hollywood heavyweights and pro athletes—think Best Buy and J. Crew—continues in an interactive push from Virgin America designed to set its in ...,"Sep 7, 2012",1347029429
Hollywood! Adapt This: THE PIRATES OF DARK WATER,http://collider.com/pirates-of-dark-water-movie-adaptation/,Collider.com,"As to who I&#39;d like to see at the helm, James Cameron brought the world of Avatar&#39;s Pandora to life in a stunning fashion and I&#39;d love to see him tackle the alien world of Mer (though, if rumors prove true, we may see a watery side of Pandora in one or ...","Sep 10, 2012",1347250208
HTC Media Link HD review,http://www.theverge.com/hd/2012/8/16/3132802/htc-media-link-hd-review,The Verge,"HTC thinks it has the answer with the Media Link HD, a minuscule streamer that connects to your TV over HDMI and lets you wirelessly push whatever is on your smartphone&#39;s display to that big screen in your living room.","Aug 16, 2012",1345139303
"&#39;Big Brother&#39;: Former Winner Dispenses Advice In Pandora&#39;s Box, But Is It ...",http://www.huffingtonpost.com/2012/09/10/big-brother-former-winner-advice-pandora-video_n_1869635.html,Huffington Post,"While it may seem like a reward for “Big Brother“ self-proclaimed-superfan Ian to get advice from a previous winner, it turned out to be anything but.","Sep 10, 2012",1347260249
&#39;Avatar&#39; Prequel: James Cameron Says Fourth Film Will Go Back To Pandora,http://www.huffingtonpost.com/2012/09/10/avatar-prequel-james-cameron_n_1870254.html,Huffington Post,"Despite the fact that second and third “Avatar” films are still years away from hitting theaters, director James Cameron and producer Jon Landau can&#39;t seem to stop talking about “Avatar 4.” Just last week, Landau told the Courier-Post that while plans ...","Sep 10, 2012",1347282408
"James Cameron Plans Avatar Prequel, Battle Angel Alita by 2017",http://www.craveonline.com/site/195635-james-cameron-plans-avatar-prequel-battle-angel-alita-by-2017,Crave Online,"I haven&#39;t really put pen to paper on it, but basically it goes back to the early expeditions of Pandora, and kind of what went wrong with the humans and the Na&#39;vi and what that was like to be an explorer in a completely unknown world.","Sep 10, 2012",1347282583
Will Streaming Music Ever Be Profitable?,http://mashable.com/2012/09/04/streaming-music-revenue-charts/,Mashable,"People are consuming more streaming media than ever, but record labels, movie studios and TV networks are still figuring out how to license it profitably.","Sep 4, 2012",1346773881
Pioneer VSX-1022-K,https://www.cnet.com/products/pioneer-vsx-1022-k/review/,CNET,"The Good The Pioneer VSX-1022K features six HDMI inputs and built-in AirPlay. The AV receiver has built-in networking, with support for Pandora, DLNA, and Internet radio, plus you can control it from your smartphone. Discounts can bring the price down&nbsp;...","Aug 21, 2012",1345587848
James Cameron Reveals AVATAR 4 Will Be a Prequel,http://collider.com/james-cameron-avatar-4-prequel/,Collider.com,From Cameron himself comes word that Avatar 4 will likely be a prequel that explores the colonization process of Pandora before the events of Avatar.,"Sep 9, 2012",1347203005
Chevy adopts a bring-your-own-maps approach to navigation,https://gigaom.com/2012/09/07/chevy-adopts-a-bring-your-own-maps-approach-to-navigation/,GigaOM,"The expectation is that anyone who buys this car has already eschewed physical media in favor of digital. As you might expect, that ... Apart from the still-unreleased BringGo, MyLink has just two apps: Pandora(s p) and Stitcher. This is a problem GM ...","Sep 7, 2012",1347055871
Twitter tops Facebook in mobile ad sales,http://money.cnn.com/2012/09/06/technology/facebook-mobile/,CNN,"That would also push Facebook ahead of a host of other competitors it currently lags, including Pandora (P), Apple (AAPL), and Millennial Media (MM), making the social network giant the number two mobile ad earner in the space. Overall, Google still ...","Sep 6, 2012",1346948696
U.S. Mobile Advertising: Twitter Sales Are Double That Of Facebook In A Google ...,https://techcrunch.com/2012/09/06/u-s-mobile-advertising-twitter-sales-are-double-that-of-facebook-in-a-google-ruled-2-6b-market/,TechCrunch,"Indeed, eMarketer notes that part of the reason that Google, and others like Pandora (at 8.7% of all U.S. mobile ad revenues, 20.5% in display alone), are doing better is simply because they&#39;ve been chipping away at that business for longer.","Sep 6, 2012",1346943736
Tuesday&#39;s 10 Most Tweeted Stocks,http://seekingalpha.com/article/834521-tuesdays-10-most-tweeted-stocks,Seeking Alpha,"AOL, Inc. (NYSE:AOL): Operates as a Web services company that offers a suite of brands and offerings for the worldwide audience.","Aug 29, 2012",1346224045
ASTRO A50 Wireless Headset Review,http://www.forbes.com/sites/jasonevangelho/2012/08/19/astro-a50-wireless-headset-review/,Forbes,"When Skullcandy Inc. acquired ASTRO Gaming in 2011, fears surfaced inside the gaming community that ASTRO would cease to deliver the high benchmark they&#39;d set with their A40 line of premium headphones.","Aug 19, 2012",1345407368
"Samsung Enters Mobile Content Space, Is Pandora Now on the Menu?",http://www.benzinga.com/news/12/09/2947415/samsung-enters-mobile-content-space-is-pandora-now-on-the-menu,Benzinga,"The move will bring Samsung into direct competition with titans of the industry ranging from Google (NASDAQ: GOOG) to Amazon (NASDAQ: AMZN) and Pandora (NASDAQ: P), and represents a significant shift in overall strategy for the high tech hardware&nbsp;...","Sep 27, 2012",1348776532
"Samsung shopping for software to challenge Apple, Google, Amazon in music market",http://business.financialpost.com/fp-tech-desk/samsung-shopping-for-software-to-challenge-apple-google-amazon-in-music-market,Financial Post,"The boardroom push, and Samsung&#39;s aim to grow Music Hub to among the world&#39;s top-four digital music services, has fuelled speculation that online streaming services such as Pandora Media and privately-held Spotify could become takeover fodder.","Sep 27, 2012",1348758000
"LTE Versus 3G: Data Is Just Data, Right?",http://appadvice.com/appnn/2012/10/its-pretty-stupid-ridiculous-how-much-data-netflix-uses-over-lte,AppAdvice,"Recently, we tested a few apps and features using the iPhone 5 to see if there was really a difference in data usage between 3G and LTE.","Oct 1, 2012",1349116046
Pandora defeats privacy suit over Facebook integration,https://www.cnet.com/news/pandora-defeats-privacy-suit-over-facebook-integration/,CNET,"When Pandora was sued for alleged privacy missteps following Facebook integration, it was headline news, with one report saying the Internet radio company had stumbled &quot;into the minefield of privacy lawsuits that are blowing up all over the tech industry.","Oct 3, 2012",1349308413
Tech Executives Agree US Copyright Law is Making a Horrible Mess,http://www.dailytech.com/Tech+Executives+Agree+US+Copyright+Law+is+Making+a+Horrible+Mess/article27703.htm,DailyTech,The author blames punitive litigation for delaying services like Pandora Media Inc.&#39;s (P) and Spotify&#39;s internet radio offerings.,"Sep 17, 2012",1347908949
Silicon Valley&#39;s Stock Funk,http://www.wsj.com/articles/SB10000872396390443493304578038763698056392,Wall Street Journal,"At Internet-radio service Pandora Media Inc., employees hold an average of $530,000 in equity, down 41% from $896,000 at the time of its June 2011 IPO.","Oct 5, 2012",1349480352
"Why Did Apple Inc (AAPL) Shut Down Ping, Its Social Network?",http://www.insidermonkey.com/blog/why-did-apple-inc-aapl-shut-down-ping-its-social-network-21670/,Insider Monkey (blog),"Determining what percentage of iTunes used actually employed Ping on a regular basis is impossible to determine, but the overall breadth of its network compared favorably to peers like Pandora Media Inc (NYSE:P) at 150 million users, Spotify at 20 ...","Oct 4, 2012",1349366014
"Pipeline, The Angel Investing Bootcamp For Women, Announces New Class Of Bay ...",https://techcrunch.com/2012/10/03/pipeline-fellowship-bay-area-2012/,TechCrunch,"But an organization called the Pipeline Fellowship is working to deliberately change that, by putting on angel investing “bootcamps” for women.","Oct 3, 2012",1349296378
Writing In-The-Money Covered Calls To Generate Yield,http://seekingalpha.com/article/910441-writing-in-the-money-covered-calls-to-generate-yield,Seeking Alpha,"Companies like Pandora Media, Inc. (NYSE:P), Abercrombie &amp; Fitch Co. (NYSE:ANF), and GameStop Corp. (NYSE:GME). currently have all the necessary components of a great in-the-money covered call trade.","Oct 8, 2012",1349707820
Unicorn Media Offers Live Video Ad Insertion With Unicorn OnceLIVE,https://techcrunch.com/2012/10/01/unicorn-media-oncelive/,TechCrunch,Unicorn Media is launching a new product today that it says could become a key ingredient in helping video publishers make money from live content.,"Oct 2, 2012",1349160179
KKR among bidders for KPN&#39;s German towers: sources,http://www.reuters.com/article/us-kpn-towers-idUSBRE8910EO20121002,Reuters,"Satellite radio company Sirius XM Holdings Inc&#39;s Chairman Greg Maffei recently made a fresh approach to internet radio provider Pandora Media Inc and expressed interest about a potential takeover, according to a source familiar with the matter.","Oct 2, 2012",1349176220
